alpha,time,generated,suboptimality,optimal
0.05,36.15778889656067,234023.6,-0.943449575871819,0.4
0.1,36.15782380104065,190385.7,-0.943449575871819,0.4
0.25,36.18963248729706,210417.8,-0.943449575871819,0.4
0.5,36.16164855957031,209524.3,-0.943449575871819,0.4
0.75,36.1573520898819,206065.2,-0.943449575871819,0.4
0.9,36.154515624046326,229618.9,-0.943449575871819,0.4
0.95,36.1540504693985,207240.2,-0.943449575871819,0.4
MD,0.012388205528259278,1294.8,-0.7323279924599435,1.0
N/A,36.01163489818573,201304.9,-0.943449575871819,0.4
